accept	accepts	2.274586610110067e-13
act	acts	5.684394361223737e-13
achieve	achieves	1.591623224568563e-12
admire	admires	3.752018227629883e-14
add	adds	2.7284909380426704e-12
analyze	analyzes	2.274586610110067e-13
answer	answers	1.023185008935614e-12
agree	agrees	4.547551570751055e-13
allow	allows	4.4337927259910236e-12
appear	appears	1.6200379853403492e-12
apply	applies	1.2505553923526648e-12
ask	asks	1.9326946598613195e-12
avoid	avoids	2.444268231372234e-12
bake	bakes	1.5632122489326293e-12
balance	balances	3.410621784953193e-12
become	becomes	6.252777651710025e-13
believe	believes	1.591631588352525e-12
behave	behaves	1.2846612670218379e-11
blink	blinks	6.537001235687804e-13
boil	boils	2.359009642593909e-12
bounce	bounces	1.0232240393370487e-12
breathe	breathes	2.899014438433126e-12
call	calls	4.888534748192751e-12
care	cares	5.979221887528288e-12
charge	charges	1.3643471089342458e-12
chat	chats	1.4496054105908107e-12
climb	climbs	9.094947627592984e-13
close	closes	1.847444472741908e-13
consider	considers	1.4068809423986043e-12
consist	consists	1.8190536924222244e-12
contain	contains	1.5916157281026244e-12
continue	continues	1.321618722852932e-12
cough	coughs	1.762150517343785e-12
count	counts	1.5916696430146363e-12
create	creates	5.951075446731941e-13
cross	crosses	2.9558578141220832e-12
dance	dances	1.0233281131297215e-12
decide	decides	2.273845172064753e-13
deliver	delivers	2.2737417661513394e-12
depend	depends	6.707538245132568e-12
describe	describes	5.687116766346677e-14
develop	develops	4.2632574106712307e-13
divide	divides	4.888539185854784e-12
drop	drops	5.229594610617097e-12
dry	dries	1.0686564187590017e-11
end	ends	5.117112224751839e-13
enable	enables	7.817515421509416e-13
enjoy	enjoys	4.773959005888173e-15
ensure	ensures	1.59166131137497e-12
escape	escapes	1.818994824548641e-12
examine	examines	1.136870133622323e-12
exist	exists	9.415198167196804e-13
explain	explains	1.9043353242217758e-12
feed	feeds	7.275958278257226e-12
fix	fixes	1.5688783983089632e-11
follow	follows	1.193712807998567e-12
guess	guesses	3.0127056228575916e-12
handle	handles	1.7053234402023078e-12
happen	happens	3.5242982647319276e-12
hear	hears	3.0695449076041985e-12
help	helps	3.6379857459789994e-12
hope	hopes	3.4119413297802927e-13
identify	identifies	2.2737508056490593e-12
improve	improves	3.0695447469816654e-12
include	includes	2.046363701322923e-12
involve	involves	2.7284846835598822e-12
join	joins	3.9793670455884917e-13
jump	jumps	3.45324027289261e-12
laugh	laughs	1.406874831455109e-12
learn	learns	9.095338406292114e-13
lift	lifts	1.3642654712253166e-12
maintain	maintains	6.195936236678251e-12
manages	manages	3.979087365635541e-12
mark	marks	1.861622815189762e-12
match	matches	3.1263911913855337e-13
name	names	6.821242879634338e-13
notice	notices	1.2221335055073723e-12
obey	obeys	9.094964364947499e-13
occur	occurs	1.4779302414630981e-12
operate	operates	1.7621706623526677e-12
pack	packs	1.7068288008984267e-13
pick	picks	1.2505969264566356e-12
play	plays	4.88855500129651e-12
prevent	prevents	4.1213009987738884e-13
promote	promotes	2.0463630789890885e-12
protect	protects	5.3434608243257335e-12
provide	provides	1.3074128933363508e-12
receive	receives	2.501115200360562e-12
reduce	reduces	2.017943128714119e-12
refer	refers	1.5916167822952804e-12
remain	remains	1.3073986632605995e-12
remember	remembers	1.9895236747699887e-12
represent	represents	1.6342483073327823e-12
require	requires	2.1884716374055467e-12
seem	seems	7.38987871926108e-13
send	sends	9.951166234788444e-14
suggest	suggests	7.532009602837787e-13
tell	tells	1.0231824068559147e-12
understand	understands	2.8421809697244057e-12
utter	utters	2.2740142932498854e-13
