abolish	abolishment	4.227295455361717e-05
abrade	abradement	1.373622028991541e-05
abridge	abridgement	2.7002788294728054e-05
accomplish	accomplishment	1.864639557671732e-05
achieve	achievement	1.0334654285773006e-05
acknowledge	acknowledgement	1.6806968773783485e-05
acquire	acquirement	4.552747111542921e-05
adjust	adjustment	7.458966438178365e-06
advertise	advertizement	3.157129189818426e-05
advertise	advertisement	3.156917232034945e-05
advise	advisement	2.083055122366707e-05
agree	agreement	3.5289276577940536e-05
align	alignment	3.5747443792271963e-06
allot	allotment	2.1845078444741762e-05
amend	amendment	9.276412788204346e-07
amuse	amusement	1.8011158740020214e-05
announce	announcement	9.916642251150323e-06
appease	appeasement	2.3992542590682454e-05
appoint	appointment	5.368832967516688e-05
argue	argument	1.6546234859004454e-05
arrange	arrangement	1.0821186637446324e-06
arrest	arrestment	2.1352817518030656e-05
assess	assessment	2.7234281555096614e-05
assign	assignment	1.7042572164664603e-05
assort	assortment	4.227572367265529e-05
attain	attainment	3.431568047619082e-05
baffle	bafflement	2.8797547377687467e-05
bereave	bereavement	1.3929158275762591e-05
better	betterment	4.110655675368778e-06
bewilder	bewilderment	3.8995754506744114e-06
blandish	blandishment	2.983337127773997e-05
bombard	bombardment	1.9916181510261516e-05
cease	ceasement	2.3809050311982592e-05
commit	commitment	2.3335708249213478e-05
conceal	concealment	2.3995345106624084e-05
confound	confoundment	5.185450340939818e-06
congeal	congealment	2.338744082396076e-05
correspond	correspondment	1.1249504947003666e-05
curtail	curtailment	3.420504947646383e-05
defer	deferment	5.142007911086219e-06
denounce	denouncement	6.0159553432113415e-06
deploy	deployment	3.097514252721574e-06
derail	derailment	2.9105899423384695e-05
detach	detachment	1.7127129944398887e-05
develop	development	1.6151883736265108e-05
disagree	disagreement	5.167329090739851e-06
disappoint	disappointment	1.1107154373661645e-06
disarm	disarmament	4.42583785559573e-06
discern	discernment	1.5017214893334071e-05
disguise	disguisement	3.596143094792656e-05
dishearten	disheartenment	2.6597444397222742e-05
displace	displacement	3.0541761859631284e-06
disturb	disturbment	1.4329326086874933e-05
embarrass	embarrassment	1.0097248559249912e-05
embellish	embellishment	1.5365596386326757e-06
embolden	emboldenment	3.6297187731630513e-06
encourage	encouragement	9.821315094643221e-06
encroach	encroachment	4.73759802682753e-05
endear	endearment	1.7297452314098628e-05
endorse	endorsement	8.892116177714266e-06
endow	endowment	3.5064314471210914e-05
enforce	enforcement	1.958084226369981e-05
engage	engagement	1.9372932897897186e-06
enhance	enhancement	1.969944327318569e-05
enjoy	enjoyment	4.792788332373341e-06
enlighten	enlightenment	1.2119339330374164e-05
enlist	enlistment	8.469456998592438e-06
enrage	enragement	1.7426129646223826e-05
enroll	enrolment	1.163283440875488e-05
enroll	enrollment	4.409159788187089e-06
entail	entailment	3.098988033809382e-05
entangle	entanglement	4.423699089611084e-05
entertain	entertainment	4.5640540775315454e-05
enthrall	enthrallment	3.7749728205762706e-05
entitle	entitlement	4.3594701277659806e-05
entrap	entrapment	5.0527188119563505e-05
envision	envisagement	3.507403914909413e-06
equip	equipment	2.0244801212012986e-05
escarp	escarpment	2.4712530013072005e-05
establish	establishment	1.1568689425801714e-05
excite	excitement	8.999556189352868e-06
flourish	flourishment	3.193240669486776e-05
forsake	forsakement	9.336469491856677e-06
fulfil	fulfilment	1.718333796646566e-05
fulfill	fulfillment	3.723192934877672e-05
harass	harassment	6.79799909621681e-05
impair	impairment	2.2330774086081928e-05
impede	impediment	8.241890803823093e-07
imprison	imprisonment	5.622507678893595e-06
improve	improvement	1.352818680231827e-05
incite	incitement	5.5528835281866354e-06
infringe	infringement	7.397471501981137e-06
inter	interment	6.932847040472624e-07
invest	investment	1.618086102953691e-05
involve	involvement	1.866739474027832e-05
jugde	judgment	7.770304987287687e-06
manage	management	2.9955856529108768e-05
meddle	meddlement	9.050542015285632e-06
perish	perishment	2.8069755978228454e-05
postpone	postponement	2.8511727986337557e-06
punish	punishment	3.3246699504150804e-05
redevelop	redevelopment	4.023372125189171e-06
refine	refinement	2.0558973261864725e-05
refresh	refreshment	4.586779228402794e-05
reimburse	reimbursement	4.235272369559906e-06
reinforce	reinforcement	2.256430890710329e-05
reinstate	reinstatement	1.1981342207700068e-05
relinquish	relinquishment	8.380445150174673e-06
replace	replacement	5.354004336034364e-06
require	requirement	3.105537448911725e-05
resent	resentment	7.160962059851804e-06
seduce	seducement	3.0269761503210445e-05
uplift	upliftment	1.5275147155230972e-05
